item_id,version_no,sort_order,category_key,validity_start,validity_end
W45000228,1,,Geog/BuiltUp,01/01/1990,
W45000374,1,,Geog/BuiltUp,01/01/1990,
W45000276,1,,Geog/BuiltUp,01/01/1990,
W45000475,1,,Geog/BuiltUp,01/01/1990,
W45000322,1,,Geog/BuiltUp,01/01/1990,
W45000229,1,,Geog/BuiltUp,01/01/1990,
W45000375,1,,Geog/BuiltUp,01/01/1990,
W45000277,1,,Geog/BuiltUp,01/01/1990,
W45000476,1,,Geog/BuiltUp,01/01/1990,
W45000323,1,,Geog/BuiltUp,01/01/1990,
W45000230,1,,Geog/BuiltUp,01/01/1990,
W45000376,1,,Geog/BuiltUp,01/01/1990,
W45000278,1,,Geog/BuiltUp,01/01/1990,
W45000477,1,,Geog/BuiltUp,01/01/1990,
W45000324,1,,Geog/BuiltUp,01/01/1990,
W45000231,1,,Geog/BuiltUp,01/01/1990,
W45000377,1,,Geog/BuiltUp,01/01/1990,
W45000279,1,,Geog/BuiltUp,01/01/1990,
W45000478,1,,Geog/BuiltUp,01/01/1990,
W45000325,1,,Geog/BuiltUp,01/01/1990,
W45000232,1,,Geog/BuiltUp,01/01/1990,
W45000378,1,,Geog/BuiltUp,01/01/1990,
W45000280,1,,Geog/BuiltUp,01/01/1990,
W45000479,1,,Geog/BuiltUp,01/01/1990,
W45000326,1,,Geog/BuiltUp,01/01/1990,
W45000233,1,,Geog/BuiltUp,01/01/1990,
W45000379,1,,Geog/BuiltUp,01/01/1990,
W45000281,1,,Geog/BuiltUp,01/01/1990,
W45000480,1,,Geog/BuiltUp,01/01/1990,
W45000327,1,,Geog/BuiltUp,01/01/1990,
W45000234,1,,Geog/BuiltUp,01/01/1990,
W45000380,1,,Geog/BuiltUp,01/01/1990,
W45000282,1,,Geog/BuiltUp,01/01/1990,
W45000481,1,,Geog/BuiltUp,01/01/1990,
W45000328,1,,Geog/BuiltUp,01/01/1990,
W45000235,1,,Geog/BuiltUp,01/01/1990,
